No,Content Id,Description,Sub Category,Category,Vendor,Category
1,93668,Swami Narayan,Swaminarayan,Devotional,IFM,Theme
2,93665,Swami Narayan,Swaminarayan,Devotional,IFM,Theme
3,120682,Swami Narayan (Dhun - I ),Nitya Smaran,Gujrathi,T-series,Polytone
4,120675,Swami Narayan (Dhun),Nitya Smaran,Gujrathi,T-series,Polytone
5,119809,Swami Devotional Dhun (Ii),Swaminarayan Dhun,Gujrathi,T-series,Polytone
6,1486032,Swami Narayana,Kalababishekham,Devotional,Krishna Audios,Truetone
7,1028956,Tame Mithu Boline,Swami Narayan Sankirtan,Devotional,T-series,Truetone
8,1028702,Dhun Swaminarayan,Swami Narayan Sankirtan,Devotional,T-series,Truetone
9,1028528,O Mara Vala Re,Swami Narayan Sankirtan,Devotional,T-series,Truetone
10,1028481,Morli Vaje Re,Swami Narayan Sankirtan,Devotional,T-series,Truetone
11,1028462,Raj Mara Mandiriye,Swami Narayan Sankirtan,Devotional,T-series,Truetone
12,1024998,Swami Narayan Dhoon,Hari Akshar,Devotional,T-series,Truetone
13,1486077,Swami Narayana,Kalababishekham,Devotional,Krishna Audios,MP3 Tone
14,1028982,Dhun Swaminarayan,Swami Narayan Sankirtan,Devotional,T-series,MP3 Tone
15,1028733,Raj Mara Mandiriye,Swami Narayan Sankirtan,Devotional,T-series,MP3 Tone
16,1028508,O Mara Vala Re,Swami Narayan Sankirtan,Devotional,T-series,MP3 Tone
17,1028168,Morli Vaje Re,Swami Narayan Sankirtan,Devotional,T-series,MP3 Tone
18,1028143,Tame Mithu Boline,Swami Narayan Sankirtan,Devotional,T-series,MP3 Tone
19,1024994,Swami Narayan Dhoon,Hari Akshar,Devotional,T-series,MP3 Tone
20,1486031,Swami Narayana,Kalababishekham,Devotional,Lahari Music,Full Length Songs
21,1046670,Swami Narayan Dhoon,Hari Akshar,Devotional,T-series,Full Length Songs
22,1038235,Morli Vaje Re,Swami Narayan Sankirtan,Devotional,T-series,Full Length Songs
