Date,Message,Sunsign,Count
11/7/2012,ARIES : Money will come your way. But beware of unnecessary expenses. You need to make decisions to invest it in proper place.,Aries,126
11/7/2012,TAURUS : Indications of spending pleasant moments on domestic prospectives. Romance and love will be both rewarding and pleasing.,Taurus,129
11/7/2012,GEMINI : Your honest and hard efforts may help you earn some rewards on both personal and professional affronts. Quite an enthusiastic day.,Gemini,139
11/7/2012,CANCER : Do not allow emotions to hover over you. Your multi tasking ability will help you to react well at your work affronts.,Cancer,127
11/7/2012,LEO : You'll be able to trust your instincts and spend your money more freely. You can also double increase your earning potential.,Leo,131
11/7/2012,VIRGO : You'll have plenty of other powerful planetary influences to keep your romantic life flourishing. Go get whatever you want.,Virgo,131
11/7/2012,LIBRA : Relationship lessons have been relentless this time. You need to make important decisions about where to commit and where to quit.,Libra,138
11/7/2012,SCORPIO : With Neptune in your romance sector your love life is about to take a poetic turn. You will spend good times with your partner.,Scorpio,138
11/7/2012,SAGITTARIUS : Change is inevitable but you have a favorable luck on your side this time. Time to boost up your energies.,Sagittarius,121
11/7/2012,CAPRICORN : You'll be looking forward to question many aspects of your existence personally as well as professionally.,Capricorn,120
11/7/2012,AQUARIUS : You may revisit sweet memories of love which may remind you of past times. This will also help you analyse your love life.,Aquarius,133
11/7/2012,PISCES : The day marks partying with your friends or office colleagues. You may take a a small break from your daily monotonous routine.,Pisces,136
11/8/2012,ARIES : There are possibilities of serious discussions and conflicts socially or personally. Try to keep control on your temper. ,Aries,129
11/8/2012,TAURUS : You may make developments on your proffessional fronts. But this may lead to jealousy from your colleagues side.,Taurus,121
11/8/2012,GEMINI : Indications of new love and romance affairs blooming in your current life. You may also plan some trips to distant places.,Gemini,131
11/8/2012,CANCER : Liberty joy and creativity lies by your side. It will strengthen your base and will help you move forward in spheres of life.,Cancer,135
11/8/2012,LEO : After a long time of blocking your ability to speak from the heart  you are finally back to your old outspoken self.,Leo,123
11/8/2012,VIRGO : You're still getting over your fear of the unknown. Trust that you're being put on an accelerated course to success.,Virgo,124
11/8/2012,LIBRA : Jupiter's lucky presence in your sector will bring you every material and emotional resource you could ever want or need.,Libra,129
11/8/2012,SCORPIO : Friends will play a vital role in strengthening your career goals. So never underestimate the power of whom you know..,Scorpio,128
11/8/2012,SAGITTARIUS : You can plan for an extended vacation with family. You can also change your focus from work to relationships.,Sagittarius,123
11/8/2012,CAPRICORN : You may feel guilty to break so many hearts of your loved ones. At the same time you may be portrayed with lots of affection.,Capricorn,137
11/8/2012,AQUARIUS : Under the influence of Neptune's illusory powers you may doubt your ability to read people accurately. Beware of your steps.,Aquarius,136
11/8/2012,PISCES : You have restored your faith in yourself largely by your own efforts. It is going to help you fulfill your own goals.,Pisces,126
11/9/2012,ARIES : Listening to your heart will create a feel good factor in you. Spend time with family. Perfect time for love and romance.,Aries,129
11/9/2012,TAURUS : You may take a short break from your work. Planning a small holiday trip with family and friends will make you feel happy.,Taurus,131
11/9/2012,GEMINI : Your enthusiasm and confidence will create positive energies in you. New circumstances will give you increased opportunities.,Gemini,134
11/9/2012,CANCER : Raise yourself above gossips and rumours. You will be able to enjoy the comforts and pleasures of life. A merry time for you.,Cancer,134
11/9/2012,LEO : Leo is the sign of love. Mars activates your romance sector making sure there's plenty of heat to take you through.,Leo,122
11/9/2012,VIRGO : Any financial challenges you've had to endure since 2009 should come to an end. Planning for a change of residence is possible.,Virgo,135
11/9/2012,LIBRA : A time for change. It will also ensure your coming into true power by transforming all the dead weight of your past.,Libra,124
11/9/2012,SCORPIO : You will plan for higher goals. A good portion of the parties you attend will have some sort of work component behind them.,Scorpio,133
11/9/2012,SAGITTARIUS : Keep an eye out for the return of old lovers. Your feelings or the situation itself could change drastically.,Sagittarius,123
11/9/2012,CAPRICORN : You may act creatively today which may prove rewarding. You  may also be appreciated for your practical approach.,Capricorn,125
11/9/2012,AQUARIUS : Its time to come out of yourself now. Analyze your own potentials and skills and without getting distracted.,Aquarius,120
11/9/2012,PISCES : You'll feel like you've come home to your true self. You can immerse yourself in the oceanic bliss of inspiration  and compassion.,Pisces,139
11/10/2012,ARIES : Beware of causing any kind of dissappointment against your loved ones. Try to be patient and listen to your heart.,Aries,122
11/10/2012,TAURUS : Your dreams of thinking larger than life will make you feel more ambitious. Perfect season of love and romance.,Taurus,120
11/10/2012,GEMINI : You may get yourself involved in some petty squabbles. Beware of any kind of cheatings on work affronts. Avoid trusting everyone.,Gemini,138
11/10/2012,CANCER : Interacting with people will be your primary focus today. Finances are on upswing. Beware of being over-confident.,Cancer,123
11/10/2012,LEO : Jupiter is going to bring good things in your social life. You might also be invited to unexpected parties by your friends.,Leo,129
11/10/2012,VIRGO : The new Moon in your communication sector could bring new potential for learning speaking writing or travel opportunities.,Virgo,132
11/10/2012,LIBRA : No more flirting now. Just be what you are and get prepared to get translated into more passionate relationships.,Libra,121
11/10/2012,SCORPIO : Saturn demads absolute integrity and commitment in all arenas of your life  especially relationships. Be true to your instincts.,Scorpio,138
11/10/2012,SAGITTARIUS : Expand your talents and explore possibilities at your work affronts. You may impress your mentors or seniors.,Sagittarius,123
11/10/2012,CAPRICORN : The wonderful  chemistry you share with your partner makes you feel lively and full of enthusiasm. Enjoy the day.,Capricorn,125
11/10/2012,AQUARIUS : Neptune may move into your money sector ensuring your ability to  spend within the bounds of your financial reality.ÿ,Aquarius,129
11/10/2012,PISCES : You are at your creative best. You have money status and prestige in your sector as you move ahead day by day.,Pisces,120
11/11/2012,ARIES : Perfect time for prayer and meditation. You are looking forward to a contemplative life. Following your true inclinations.,Aries,130
11/11/2012,TAURUS : You may find some tricky solutions to your work problems. Your brilliant and wisdom filled suggestions will earn you applauses.,Taurus,136
11/11/2012,GEMINI : You break all records of endurance and have fun in your process. You will cross all the hurdles coming your way.,Gemini,121
11/11/2012,CANCER : You may experience a feeling of envy from your hidden or open rivalry. Gifts legacy or other benefits may come your way.,Cancer,130
11/11/2012,LEO : Saturn is leaving your communication sector making all your business correspondence and networking tasks that much easier.,Leo,129
11/11/2012,VIRGO : You are still learning the way that the more you let go the more you receive. Just beware of becoming too self-sacrificing.,Virgo,132
11/11/2012,LIBRA : Communication is going to play a vital part in your professional projects this time. Think twice before speaking anything.,Libra,130
11/11/2012,SCORPIO : Your values are going to be tested so get ready to avoid any kind of stress. You may also feel lightened from the burdens.,Scorpio,132
11/11/2012,SAGITTARIUS : The presence of Jupiter in your work sector will ensure something that will bring glorious opportunities in your chosen field.,Sagittarius,140
11/11/2012,CAPRICORN : Time to shape your creative visions into reality now. Jupiter will join Venus doubling pleasure and luck in your daily work.,Capricorn,136
11/11/2012,AQUARIUS : This is a chance to expand your viewpoint on past events that have shaped who you are today. You may feel responsible today.,Aquarius,135
11/11/2012,PISCES : You will be drawn to religion spiritualism prayers meditation yoga and rituals  of worship in search for some peace of mind.,Pisces,137
11/12/2012,ARIES : Do not look down on someone who loves you. Though you are ready to take risks you are still treating your love with disdain.,Aries,133
11/12/2012,TAURUS : Try to control over your temper. Learn to ignore the trifles and keep yourself away from the mighty ego issues.,Taurus,120
11/12/2012,GEMINI : Time for arrival of new love in your life. You may also plan for some international business or personal trips.,Gemini,120
11/12/2012,CANCER : Your adoption of positive attitude towards life will help you go forward. You will be able to resolve your doubts all by yourself.,Cancer,139
11/12/2012,LEO : The last quarter of the moon is in your sign. Do not get obsessive and keep away the fanatical thought processes.,Leo,120
11/12/2012,VIRGO : You are completely into expansive mode. The newer established contacts may play a vital role in the years to come.,Virgo,122
11/12/2012,LIBRA : You are going to look for experiences that can improve your knowledge as you firmly believe that knowledge is power.,Libra,124
11/12/2012,SCORPIO : You have been busy with some serious concerns. You have achieved a lot and now you are in a mood to relax and take a break.,Scorpio,133
11/12/2012,SAGITTARIUS : The influence of Mercury continues for a while and you will be in the throes of communication and expansion.,Sagittarius,122
11/12/2012,CAPRICORN : Quite a jolly day for you. There will be lots of enjoyment laughter love recreation functions and parties.,Capricorn,122
11/12/2012,AQUARIUS : You need to keep a hand on your expenses. Stop spending too much. Also travelling too much may not ensure comfort for you.,Aquarius,133
11/12/2012,PISCES : This is period of great ideas and you are at your creative best. Fully determined attitude will help you sorting problems.,Pisces,132
11/13/2012,ARIES : Expecting too much from your colleagues or friends can be troublesome for you. Follow and trust your own inclinations.,Aries,126
11/13/2012,TAURUS : It will be good idea to travel on a short holiday with your friends. It will help you to distract from current intense energy.,Taurus,135
11/13/2012,GEMINI : There will be new fruitful associations. You may get new energies and opportunities today to do something different.,Gemini,125
11/13/2012,CANCER : Meeting like-minded people will help in reinforcing your beliefs and gain more compatibility. It will also refine your skills.,Cancer,135
11/13/2012,LEO : Your ideas may be great but you need to formulate it in a more creative way. You should open yourself for negotiation.,Leo,124
11/13/2012,VIRGO : Your focus is likely to shift on family matters like children?s health and education relations with the spouse or partner.,Virgo,131
11/13/2012,LIBRA : You are looking at every way to maximize your output. You will be able to sort out misunderstandings in the family.,Libra,123
11/13/2012,SCORPIO : You are supposed to display creativity and energy and then direct it into earning well. Money and honey are both yours.,Scorpio,129
11/13/2012,SAGITTARIUS : There is far more understanding and warmth in all your dealings. Your growth is multi-dimensional and profound.,Sagittarius,125
11/13/2012,CAPRICORN : Your sincere efforts at your workplace will enhance power and prestige. Your energy levels are going to be high today.,Capricorn,130
11/13/2012,AQUARIUS : Your new ideas and ingenuity will lead to progress. Changes and commitments at workplace are likely to be long term.,Aquarius,127
11/13/2012,PISCES : You are filled with stamina determination and zest. Pleasure profit joy and contentment falls in your sector.,Pisces,121
11/14/2012,ARIES : Your burdens seem to fall away. Respite relaxation excitement and glamour are supposed to come your way this time.,Aries,124
11/14/2012,TAURUS : You will be able to display your affections very well. You may enjoy some memorable moments with your partner today.,Taurus,125
11/14/2012,GEMINI : Your affair may cause heartburn. There are chances of some unpleasant domestic ripples. Beware of any relationship breakdown.,Gemini,134
11/14/2012,CANCER : You are much more confident than before. You are sure of your own capabilities which are your best strength and asset.,Cancer,127
11/14/2012,LEO : You are supposed to gain from the wisdom and maturity your significant relationship is offering. The feelings now are overwhelming.,Leo,137
11/14/2012,VIRGO  : You are filled with revolutionary ideas. This may bring transformation of some kind in your life which may prove beneficial to you.,Virgo,140
11/14/2012,LIBRA : There will be some upheavals at home and interactions at work will also be different. The primary focus will be on relationships.,Libra,137
11/14/2012,SCORPIO : Your esteem in community gets a huge lift which satisfies your ego immensely. There is a lot on your plate to choose from.,Scorpio,132
11/14/2012,SAGITTARIUS : Success comes to you both at professional and personal level. Your renewed confidence will help you perform hardest of tasks.,Sagittarius,140
11/14/2012,CAPRICORN : Watch out your steps. You could lose all sense of propriety for the lure of new charms. It could result into a danger.,Capricorn,130
11/14/2012,AQUARIUS : You take on a lot at work and fulfill all the commitments. You are now pursuing high end goals which will help you stand sternly.,Aquarius,140
11/14/2012,PISCES : There will be a great joy from your family side. You are in bliss. If a relative has to undergo surgery it will come out well.,Pisces,136
11/15/2012,ARIES : There is a closeness and warmth in your relationships. You bond powerfully with your loved ones. Wonderful day ahead.,Aries,125
11/15/2012,TAURUS : A feeling of social work or helping the less fortunate arises within you. Try to work out with some realistic ideas.,Taurus,125
11/15/2012,GEMINI : There will be mood swings and people closer to you may find harder to deal with you. You can think yoga and meditation as options.,Gemini,139
11/15/2012,CANCER : You need to be tactful and logical. Your success and general happiness could lead to over confidence. You need to be cautious.,Cancer,135
11/15/2012,LEO : You are going to face new challenges especially from your relationship sides. Beware of the problems at home. Look before you leap.,Leo,137
11/15/2012,VIRGO : Do not waste precious time fighting for joint resources. It is the time to utilize and explore your own potentials.,Virgo,123
11/15/2012,LIBRA : You need to take some extra care of your health. It will be a good time to get cracking on a new diet or exercise regimen.,Libra,130
11/15/2012,SCORPIO : You are blessed and stars are in your favor. Money and progress are both on your side. Continue living a good life.,Scorpio,125
11/15/2012,SAGITTARIUS : Stay away from unwanted solutions. Moving ahead without thinking may create problems for you. Wait and watch.,Sagittarius,123
11/15/2012,CAPRICORN : You need to understand money is the root cause of all evils. Do not do anything that may create a friction in family.,Capricorn,129
11/15/2012,AQUARIUS : There are growing demands by  the time and you will be able to fulfill them willingly and happily. A good way for growth.,Aquarius,132
11/15/2012,PISCES : Your mind will be ruled by emotions. You are in touch with people on a global scale. The growth is on a heady run.,Pisces,123
11/16/2012,ARIES : You will reap the whirlwind for the days to come. It is a unique phase when material and spiritual progress will be linked.,Aries,131
11/16/2012,TAURUS : You have thrown yourself at work and in the party circuit. You make new friends and there are chances of arrival of love too.,Taurus,134
11/16/2012,GEMINI : There could be a lot of emotional tension and your health may suffer. It may be good idea to cool off slow down and take it easy.,Gemini,139
11/16/2012,CANCER : Your optimism and vision shines through and influences all your activities. It will reflect strongly at work and in your family.,Cancer,137
11/16/2012,LEO : There could be a significant relationship too in the midst of it all but even if nothing emerges from it you will definitely gain.,Leo,138
11/16/2012,VIRGO : You may encounter someone who will have a powerful effect upon you and will show you a good reason to change. Just go with the flow.,Virgo,140
11/16/2012,LIBRA : You plan ahead with expertise and innovation as you hope to make all your dreams hopes and ambitions come true.,Libra,120
11/16/2012,SCORPIO : You turn yourself to prayer and meditation for guidance. That is sensible and is an indication that you are still grounded.,Scorpio,133
11/16/2012,SAGITTARIUS : Your warm inter-personal relations take you on wider ramifications. Success comes to you at work and personal level.,Sagittarius,130
11/16/2012,CAPRICORN : There are bound to be glitches in your plans and you will be terrified by the prospects of failure. Changes are in store.,Capricorn,133
11/16/2012,AQUARIUS : You work hard at fulfilling the many demands on your time and purse. A good way to grow as your interactions will be stronger.,Aquarius,137
11/16/2012,PISCES : You are feeling uplifted and consoled. At the same time you need to be responsible towards your professional matters.,Pisces,126
11/17/2012,ARIES : Family life will be good but you are so much busy in your workholds that you may not find enough time for them.,Aries,120
11/17/2012,TAURUS : You have thrown yourself at work and in the party circuit. You make new friends and there are chances of arrival of love too.,Taurus,128
11/17/2012,GEMINI : You are passing around all the wrong vibrations and not doing yourself and others any good in the mood you are in.,Gemini,123
11/17/2012,CANCER : You will be sure of your own capabilities but people will also be your strength and asset. You deserve the happiness.,Cancer,126
11/17/2012,LEO : There are soft moments. You meet with family and friends and spend time in helping others. You could get emotional at times.,Leo,130
11/17/2012,VIRGO : It may be the right time to assert yourself in the world. This period may prove learning period for you. Make proper usage of time.,Virgo,137
11/17/2012,LIBRA : You live  in gratitude. You are going to love the beauty of your surroundings. This is the time when you seek for comforts of life.,Libra,139
11/17/2012,SCORPIO : There is romance blooming in the air and this could well lead you to the next level. You are blessed and stars are in your favor.,Scorpio,139
11/17/2012,SAGITTARIUS : The P?s i.e power promotion perks position and progress show a steady upward climb. Come into sharp focus.,Sagittarius,125
11/17/2012,CAPRICORN : You are going to do well financially. You are going to ride high and may feel that the world is your oyster.,Capricorn,120
11/17/2012,AQUARIUS : Life has taught you many lessons. This is a valuable phase and you have to make the most of what is thrown at you.,Aquarius,125
11/17/2012,PISCES : You are feeling uplifted and consoled. At the same time your sector demands responsibility towards your professional matters.,Pisces,135
11/18/2012,ARIES : Beware of disappointment against your loved ones. Life is good as you go for savoring many golden moments together.,Aries,123
11/18/2012,TAURUS : Make time for the three F?s- friends fun and frolic. Since you are going through a phase of testing learn to be cool and patient.,Taurus,140
11/18/2012,GEMINI : The full moon is in your sign and this could be significant. You are not particularly idealistic now you have learnt your lessons.,Gemini,140
11/18/2012,CANCER : You spend a lot of time thinking about the lovely moments that have suddenly happened in your life. Watch your step.,Cancer,125
11/18/2012,LEO : You make every effort to surround yourself with beauty. You make beautiful purchases and want to be in pleasant surroundings.,Leo,131
11/18/2012,VIRGO : Do not let money become the central theme of your existence no matter how important how it is to your daily life.,Virgo,121
11/18/2012,LIBRA : There is a tendency to overdo things and you may over-extend yourself at work. You need to take rest and relax from your work.,Libra,134
11/18/2012,SCORPIO : Your current phase is leading you to the success and glory. Health is quite good and you bond well with loved ones,Scorpio,124
11/18/2012,SAGITTARIUS : The influence of Mercury continues for a while and you will be in the throes of communication and expansion.,Sagittarius,122
11/18/2012,CAPRICORN : You are filled with plans and ideas but you are lacking the way from where to start and where to stop. You need to be analyzer.,Capricorn,139
11/18/2012,AQUARIUS : You are now pursuing high objectives and will do a fine balancing act with family time personal interactions and work needs.,Aquarius,136
11/18/2012,PISCES : The higher self is very active. You are going to be at your creative best. Time is going to be spectacular for you.,Pisces,125
11/19/2012,ARIES : You are drawn to contemplative life and thinking. But there are also mounting experiences and domestic issues to deal with.,Aries,131
11/19/2012,TAURUS :  You have been known for your creative ideas among your friends and colleagues. You will win the applause of people around you.,Taurus,136
11/19/2012,GEMINI : You may realize that this is not the way you should be. You may plan to change yourself today being loving and genial.,Gemini,127
11/19/2012,CANCER : Increased employment gifts a legacy or other benefits may come your way. A tremendous sense of aestheticism now grips you.,Cancer,133
11/19/2012,LEO : You may get emotional as you bask in the love warmth admiration and care of loved ones. This may stimulate your love of beauty.,Leo,135
11/19/2012,VIRGO : You may argue with your partner over money matter. Try to avoid fighting over petty things. This is not worth it.,Virgo,121
11/19/2012,LIBRA : There is more work and lot of love in your sector this time. The primary focus may drift from career to relationships.,Libra,126
11/19/2012,SCORPIO : The good run continues. You may attend high-powered conferences and meetings. There could be chances for international trips.,Scorpio,135
11/19/2012,SAGITTARIUS : Different thoughts occupy your mind. Try not to get dissuaded from your goal. Being soft won?t help you this time.,Sagittarius,128
11/19/2012,CAPRICORN : You may indulge yourself in social works. You may also find some time for gardening or a visit to the woods.,Capricorn,120
11/19/2012,AQUARIUS : This month has lots of ups and down for you. Concentrating on loved ones and family may  help you reduce some stress.,Aquarius,128
11/19/2012,PISCES :  Finances and funds joint holdings realty stocks settlements loans and even golden handshakes may make their presence in life.,Pisces,140
11/20/2012,ARIES : You are moving in many directions at the same time. But note that not all of them are right. You have to watch out  for your steps.,Aries,139
11/20/2012,TAURUS : You are communicating with all corners and reaching out with a vengeance. You will be able to meet all deadlines by the time.,Taurus,134
11/20/2012,GEMINI : You may sign new contracts and deals. You are taking all sort of precautions to avoid any kind of cheating this time.,Gemini,126
11/20/2012,CANCER : More perks and recognition on job front are likely to be offered. Have trust in God and move on . It is for your own good.,Cancer,131
